Date,Total_Requests,Successful_Requests,Failed_Requests,Success_Rate_%,Avg_Response_Time_ms,P95_Response_Time_ms,P99_Response_Time_ms,Total_Data_Transferred_MB,Unique_Clients,Peak_RPS,API_Uptime_%,SLA_Compliance_%,New_Client_Signups,Weekend
2025-10-27,12456,12178,278,97.8,587,1456,2678,234.56,156,18.9,99.76,99.65,3,Yes
2025-10-28,15678,15389,289,98.2,564,1423,2589,298.45,167,22.3,99.81,99.72,5,No
2025-10-29,16234,15923,311,98.1,571,1445,2612,312.34,172,23.1,99.79,99.70,2,No
2025-10-30,17456,17112,344,98.0,579,1467,2645,345.67,178,24.8,99.77,99.68,4,No
2025-10-31,18123,17789,334,98.2,568,1434,2598,367.23,184,25.7,99.80,99.71,6,No
2025-11-01,18892,18534,358,98.1,574,1452,2621,389.45,191,26.8,99.78,99.69,3,No
2025-11-02,17234,16901,333,98.1,570,1441,2608,356.78,187,24.5,99.79,99.70,1,Yes
2025-11-03,16678,16356,322,98.1,566,1429,2594,342.89,183,23.7,99.80,99.71,2,Yes
2025-11-04,19567,19223,344,98.2,562,1418,2578,412.45,197,27.8,99.81,99.72,7,No
2025-11-05,20234,19889,345,98.3,558,1406,2563,428.67,203,28.7,99.82,99.73,4,No
2025-11-06,20891,20534,357,98.3,555,1395,2549,445.89,209,29.6,99.82,99.73,5,No
2025-11-07,21456,21098,358,98.3,551,1383,2534,467.23,215,30.4,99.83,99.74,3,No
2025-11-08,22123,21757,366,98.3,548,1372,2521,489.45,221,31.3,99.83,99.74,6,No
2025-11-09,20567,20212,355,98.3,553,1388,2543,434.56,217,29.2,99.82,99.73,2,Yes
2025-11-10,19892,19546,346,98.3,557,1401,2558,423.78,213,28.2,99.81,99.72,1,Yes
2025-11-11,23456,23078,378,98.4,544,1361,2507,512.34,227,33.2,99.84,99.75,8,No
2025-11-12,24123,23739,384,98.4,541,1350,2493,534.67,233,34.1,99.84,99.75,5,No
2025-11-13,24892,24501,391,98.4,538,1339,2479,558.89,239,35.2,99.84,99.75,7,No
2025-11-14,25456,25059,397,98.4,535,1328,2466,581.23,245,36.0,99.85,99.76,4,No
2025-11-15,26234,25831,403,98.5,531,1316,2451,607.34,251,37.1,99.85,99.76,9,No
2025-11-16,24678,24289,389,98.4,536,1332,2471,545.67,247,34.9,99.84,99.75,3,Yes
2025-11-17,23891,23513,378,98.4,540,1345,2486,523.45,243,33.8,99.84,99.75,2,Yes
2025-11-18,27123,26708,415,98.5,527,1304,2437,623.45,257,38.3,99.86,99.77,10,No
2025-11-19,27891,27469,422,98.5,524,1293,2423,645.89,263,39.3,99.86,99.77,6,No
2025-11-20,28456,28028,428,98.5,521,1282,2409,667.23,269,40.1,99.86,99.77,8,No
2025-11-21,29234,28799,435,98.5,518,1271,2396,691.34,275,41.2,99.87,99.78,5,No
2025-11-22,30123,29682,441,98.5,515,1260,2382,712.45,281,42.4,99.87,99.78,11,No
2025-11-23,28567,28145,422,98.5,520,1277,2403,634.56,277,40.3,99.86,99.77,4,Yes
2025-11-24,27892,27483,409,98.5,523,1288,2416,623.78,273,39.4,99.86,99.77,3,Yes
2025-11-25,31234,30779,455,98.5,511,1248,2368,734.56,287,43.9,99.88,99.79,12,No
2025-11-26,31892,31432,460,98.6,508,1237,2354,756.89,293,44.8,99.88,99.79,7,No
2025-11-27,32567,32101,466,98.6,505,1226,2341,779.45,299,45.7,99.88,99.79,9,No
2025-11-28,33234,32762,472,98.6,502,1215,2327,801.23,305,46.7,99.89,99.80,6,No
2025-11-29,34123,33646,477,98.6,499,1204,2314,823.45,311,47.9,99.89,99.80,13,No
2025-11-30,31892,31438,454,98.6,506,1230,2346,745.67,307,44.8,99.88,99.79,5,Yes
2025-12-01,30678,30239,439,98.6,510,1242,2360,723.89,303,43.2,99.87,99.78,4,Yes
2025-12-02,35234,34744,490,98.6,495,1192,2299,856.78,317,49.3,99.90,99.81,14,No
2025-12-03,36123,35627,496,98.6,492,1181,2286,878.90,323,50.6,99.90,99.81,8,No
2025-12-04,36892,36389,503,98.6,489,1170,2272,901.34,329,51.6,99.90,99.81,10,No
2025-12-05,37567,37058,509,98.6,486,1159,2259,923.45,335,52.5,99.91,99.82,7,No
