Date,Endpoint,Total_Requests,Successful_Requests,Failed_Requests,Success_Rate_%,Avg_Latency_ms,P95_Latency_ms,P99_Latency_ms,Cache_Hit_Rate_%,Total_Data_MB,Unique_Clients
2026-01-05,/api/a2a/hushh-profile,3673,3636,37,98.98,218,401,811,0,70.14,82
2026-01-05,/api/a2a/public,3276,3185,91,97.21,1921,4020,6899,0,55.84,167
2026-01-05,/api/a2a/gemini,2742,2648,94,96.56,2161,4277,8124,0,45.03,315
2026-01-05,/api/a2a/brand,2436,2420,16,99.34,173,320,621,0,43.1,288
2026-01-05,/api/a2a/profile/query,5801,5775,26,99.55,126,234,429,39.6,111.08,232
2026-01-05,/api/a2a/profile/update,1297,1283,14,98.91,295,595,980,0,23.17,344
2026-01-05,/api/a2a/consent/verify,5998,5975,23,99.61,65,128,223,65.4,96.99,344
2026-01-05,/api/a2a/enrichment/status,3489,3470,19,99.43,90,171,331,54.9,66.95,338
2026-01-05,/api/a2a/webhook/callback,1114,1087,27,97.55,441,809,1414,0,20.53,184
2026-01-05,/api/a2a/analytics/usage,880,878,2,99.77,158,323,522,60.7,13.25,110
2026-01-06,/api/a2a/hushh-profile,4445,4398,47,98.94,239,467,767,0,78.06,250
2026-01-06,/api/a2a/public,3469,3376,93,97.31,2046,4063,7274,0,68.39,348
2026-01-06,/api/a2a/gemini,3059,2955,104,96.58,2117,4177,6962,0,48.58,349
2026-01-06,/api/a2a/brand,2271,2248,23,98.97,198,410,691,0,42.33,178
2026-01-06,/api/a2a/profile/query,5858,5829,29,99.5,120,236,452,74.8,114.8,214
2026-01-06,/api/a2a/profile/update,1654,1639,15,99.06,318,593,1165,0,27.18,216
2026-01-06,/api/a2a/consent/verify,7335,7319,16,99.77,63,113,225,59.7,140.4,118
2026-01-06,/api/a2a/enrichment/status,3212,3199,13,99.57,83,165,303,78.7,62.01,139
2026-01-06,/api/a2a/webhook/callback,956,934,22,97.61,430,893,1389,0,17.24,256
2026-01-06,/api/a2a/analytics/usage,853,849,4,99.5,148,276,492,56.4,16.53,303
2026-01-07,/api/a2a/hushh-profile,3780,3736,44,98.83,256,475,859,0,67.62,197
2026-01-07,/api/a2a/public,2864,2789,75,97.36,1992,3773,6491,0,55.17,273
2026-01-07,/api/a2a/gemini,2810,2719,91,96.74,2182,4341,7923,0,47.92,183
2026-01-07,/api/a2a/brand,2604,2576,28,98.89,181,355,596,0,44.19,331
2026-01-07,/api/a2a/profile/query,4951,4926,25,99.48,110,219,411,73.0,77.7,192
2026-01-07,/api/a2a/profile/update,1284,1268,16,98.74,308,633,1007,0,20.85,100
2026-01-07,/api/a2a/consent/verify,5967,5959,8,99.85,63,128,209,63.7,104.06,121
2026-01-07,/api/a2a/enrichment/status,3314,3300,14,99.55,82,155,290,53.2,60.25,213
2026-01-07,/api/a2a/webhook/callback,1182,1154,28,97.55,428,895,1500,0,19.59,196
2026-01-07,/api/a2a/analytics/usage,744,743,1,99.75,141,275,478,54.4,11.19,339
2026-01-08,/api/a2a/hushh-profile,4628,4569,59,98.71,236,440,787,0,83.08,121
2026-01-08,/api/a2a/public,3375,3272,103,96.93,1839,3409,6497,0,62.42,268
2026-01-08,/api/a2a/gemini,3327,3229,98,97.05,2082,4088,7264,0,52.08,319
2026-01-08,/api/a2a/brand,2550,2534,16,99.36,182,367,665,0,38.69,220
2026-01-08,/api/a2a/profile/query,4998,4966,32,99.34,134,251,452,51.8,86.33,109
2026-01-08,/api/a2a/profile/update,1485,1471,14,99.02,316,571,1169,0,24.35,93
2026-01-08,/api/a2a/consent/verify,7500,7468,32,99.57,72,137,258,42.6,118.17,289
2026-01-08,/api/a2a/enrichment/status,4195,4182,13,99.67,82,167,272,36.7,75.29,104
2026-01-08,/api/a2a/webhook/callback,978,960,18,98.1,473,914,1656,0,16.98,231
2026-01-08,/api/a2a/analytics/usage,754,749,5,99.23,154,293,521,39.9,12.6,293
2026-01-09,/api/a2a/hushh-profile,4189,4143,46,98.89,226,458,739,0,75.96,278
2026-01-09,/api/a2a/public,3554,3450,104,97.06,1812,3623,6615,0,62.94,113
2026-01-09,/api/a2a/gemini,3230,3134,96,97.02,2049,4133,7096,0,48.91,106
2026-01-09,/api/a2a/brand,2496,2471,25,98.99,173,320,650,0,40.04,276
2026-01-09,/api/a2a/profile/query,5430,5410,20,99.62,123,233,437,45.5,101.8,196
2026-01-09,/api/a2a/profile/update,1633,1611,22,98.62,303,582,1103,0,29.97,155
2026-01-09,/api/a2a/consent/verify,6353,6337,16,99.74,69,144,244,46.7,108.45,213
